# Venerable Master Hsing Yun's One-Stroke Calligraphy
# Translation by: Ven. Miao Guang 妙光
# Source: FoguangPedia. Copyright Fo Guang Shan, reproduced with permission
一二三四	One, Two, Three, Four
和敬	Harmony and Respect
和敬人生	A Life of Harmony and Respect
和敬人家	A Family of Respect and Harmony
和敬生春	Respect brings Spring
和敬共生	Harmony and Respectful Coexistence
和敬吉祥	Harmony, Respect, and Auspiciousness
和敬安樂	Harmony, Respect, Peace, Joy
和敬有緣	Harmony and Respect Create Good Affinities
和敬自強	Be Harmonious, Respectful, and Self-Reliant
和敬幸福	Harmony, Respect and Happiness
和敬厚道	Harmony, Respect, Honesty, and Kindness
和敬厚道，人我吉祥	Harmony, Respect, Kindness and Honest; Auspicious Blessings for the Self and Others
和敬致祥	Harmony and Respect Brings Auspiciousness
和敬家門	A Family of Respect and Harmony
和敬真心	Harmony, Respect and Truthfulness
和敬福門	A Family of Respect and Fortune
和敬福家	A Blessed Family of Harmony and Respect
和敬興家	Harmony and Respect Makes a Family Prosper
和諧	Harmony
和諧之美	Harmony is Beauty
和諧幸福	Harmony Brings Happiness
和諧社會	Harmonious Society
和諧家福	Harmonious Family
和諧無諍	Harmony Without Disputes
坦然處世	Face the World With a Clear Conscience
定中世界	The World of Concentration
定慧等持	Equal Cultivation on Meditation and Wisdom
居正人安	Right Action Leads to Peace
居正心安	Right Action Leads to a Peace of Mind
幸福	Happiness
幸福人生	A Life of Happiness
幸福人安	Happiness and Peace
幸福人家	A Family of Happiness
幸福人間	A World of Happiness
幸福人間，共生吉祥	A World of Happiness, Auspicious Coexistence
幸福平安	Happiness and Peace
幸福生活	A Happy Life
幸福生活	A Fortunate Life
幸福安樂	Happiness and Peace
幸福美滿	Perfect Happiness
往好處想	Think Positively
往深處學	Learn from the Profound
忠孝仁愛	Loyalty, Filial Devotion, Benevolence
忠孝仁愛
信義和平	Loyalty, Filial Devotion, Benevolence Righteousness and Peace
忠厚仁慈	Honesty, Kindness, Benevolence, and Compassion
念佛第一	Chanting the Buddha’s Name  As Priority
念念分明	Perfectly Clear With Every Thought
念念安住	Peace With Every Thought
念念自在	Perfect Ease In Every Moment of Thought
念念增上	Progressive Thoughts
怡然自得	Inner Peace and Joy
性光日照	The Light of Nature Shines Like the Sun
性光則明	A Bright Nature is Clear
性空緣起	The Nature of Emptiness and Dependent Origination
性美心真	Wonderful Nature and True Mind
性朗心清	Bright Nature, Clear Mind
性海人心	The Ocea of Nature and Human Minds
所作皆辦	Complete Accomplishment
所求如意	May Your  Wishes be Fulfilled
所求如願	Fulfillment of Wishes
承擔	Reliable
放下	Let Go
放下自在	Let Go, and Be At Perfect Ease
放快腳步	Speed Up the Pace
放眼天下	Set One’s Eyes on the World
明己知人	Understand Yourself and Know Others
明天更好	Tomorrow is a Better Day
明心	A Clear Mind
明心人	A Clear-Minded Person
明心入道	Enter the Path with a Clear Mind
明心自在	A Clear Mind is Carefree
明心見性	Understand One’s Mind and See One’s Intrinsic Nature
明心見性，開悟道成	Understand One’s Mind and See One’s Intrinsic Nature; Upon Awakening, the Path is Attained
明心見道	Be Clear in Mind and See the Way
明心見道，萬家生佛	A Clear Mind Sees the Way Buddha is in All Families
明心知禪	Be Clear in Mind and Know What Chan Is
明心活水	A Clear Mind is Like Free-Flowing Water
明心悟道	A Clear Mind Awakens to the Way
明心悟道，花開見佛	A Clear Mind Awakens to the Way, Seeing the Buddha When the Flower Blooms
明日會更好	Tomorrow Will Be a Better Day
明月千里	The Bright Moon Shines a Thousand Miles
明月我心	My Mind is Like the Bright Moon
明月知心	Bright Moon Reveals the Heart
明月星光	Bright Moon, Shining Stars
明月清風	Bright Moon and Cool Breeze
明月清風，淡泊名利	Bright Moon and Cool Breeze, Seek Not of Fame nor Wealth
明月當空	A Shining Moon High in the Sky
明月當空，吉星高照	A Shining Moon High in the Sky, Auspicious Star Shining High Above
明月禪心	A Chan Mind Like the Bright Moon
明因知果	Be Clear With the Cause, and Aware of the Effect
明因識果	Understand Causes and Recognize Effects
明性見性	To Be Aware and See One's True Nature
明珠寶藏	Shining Jewel and Treasure
明淨山水	Clear and Pure Mountain and Water
明淨真心	The Clear and Pure True Mind
明理人生	A Life Lived in Sensibility and Understanding
明眼人	A Clear-Sighted One
明眼看天下	Set Eyes on the World Clearly
明道	Clarity of the Way
明道開心	Clarity of the Way, Open Mind
明禪	Clarity of Chan
服務人生	Live a Life of Service
服務奉獻	Serve and Contribute
服務第一	Service Comes First
松月禪心	The Chan Mind Found within the Pine and Moon
松竹人生	A Life Like the Strong Pine and Bamboo
松竹山居	Secluded Life Amongst the Pine and Bamboo
松竹仁者	Benevolent Like Pine and Bamboo
松竹風儀	Graceful Bearing of the Pine and Bamboo
松竹氣度	A Bearing as Majestic as Pine and Bamboo
松竹氣節	A Demeanor of Pine and Bamboo
松竹梅心	The Nature of Pine, Bamboo, and Plum Trees
松竹禪心	Pine and Bamboo, the Mind of Ch'an
松柏人生	A Life Like the Strong Pine and Fir Trees
松柏山居	Secluded Life Amongst the Pine and Fir Trees
松柏長青	Be Evergreen Like the Pine and Fir Trees
松柏精神	Spirit of the Evergreen
松柏禪心	Pine and Cypress, the Chan Mind
松風月圓，雲水三千	Enjoying the Pine Breeze and Full Moon, Travel Like Cloud and Water
松風水月	The Pine Breeze and the Moon in the Water
松風明月	Like the Pine Tree and Clear Moon
松風秋月	Wind in the Pines and Autumn Moon
松風梅香	Like the Tall Pine and Fragrant Plum
松菊山居	Secluded Life Amongst the Pine and Chrysanthemum
果然如是	Just As It Should Be
果然如意	Results are as You Wished
果斷有力	Decisiveness is Power
欣欣向榮	Thriving with Prosperity
河沙妙德	Wonderful Virtues as Numerous as the Sands in the River
河沙妙德	Wonderful Virtues as Numerous as Grains of Sand in the River
法心流心	The Dharma Spring Flows into the Mind
法水	Dharma Water
法水甘露	Dharma Nectar
法水生命	The Dharma Water of Life
法水明心	Dharma Water, Clear Mind
法水長流	Everflowing Stream of Dharma
法水長流，心念清淨	Everflowing Stream of Dharma, Pure Thoughts Within the Mind
法水長流五大洲	Let the Dharma Stream Flow Across All Five Continents
法水活泉	Dharma Stream is Like Flowing Spring
法水流心	The Dharma Stream Flows Into the Heart
法水流長	Dharma Water Flows Continuously
法水香雲	Dharma Stream and Fragrant Cloud
法水常流	Dharma Water Continuously Flows
法水清流	Pure Stream of Dharma
法水潤生	The Life-Nourishing Dharma Water
法水禪心	Dharma Stream and Chan Mind
法同舍	Dharma Abode
法如是	Thus is the Dharma
法安自在	At Ease With the Dharma
法住行	Act in Accordance With the Dharma
法忍	Dharma Patience
法依止	Rely on the Dharma
法性具足	Inherent Dharma Nature
法性湛然	Dharma Nature is Pure
法法一如	All Dharmas Have the Same Essence
法法平等	Every Dharma is Equal
法雨	Rain of Dharma
法雨生春	Dharma Rain Brings Spring
法雨潤生	The Life-Nourishing Dharma Rain
法是吾家	The Dharma is My Home
法界一心	The Dharma Realm is Embodied Within the Mind
法界一如	Dharma Realm as One
法界大千	The Great Dharma Realm
法界共尊	Mutual Respect in Dharma Realms
法界同心	Be of One Mind With the Dharma Realm
法界有情	Sentient Beings of the Dharma Realm
法界為心	The Mind is the Dharma Realm
法界為家	The Dharma Realm as Home
法界真心	True Heart and Mind in the Dharma Realm
法界真如	Dharma As It Is
法界唯心	Dharma Realm in the Mind
法界雲水	Cloud and Water is the Dharma Realm
法界慈心	Compassion Within the Dharma Realm
法音宣流	Sound of the Dharma Spreads
法音宣流眾生喜	The Sounds of the Dharma Brings Joy to All Living Beings
法海入心	Let the Dharma Ocean Flow Into the Mind
法海泛舟	Sail In the Ocean of Dharma
法海禪心	The Ocean of Dharma, and Mind of Chan
法眼淨	Pure Dharma Eye
法喜	Dharma Joy
法喜人	Joyful of the Dharma
法喜人生	A Life of Dharma Joy
法喜生命	A Life of Dharma Joy
法喜自在	Dharma Joy and Perfect Ease
法喜飽滿	Full of Dharma Joy
法喜禪悅	The Joy of Chan
法華	The Flower of Dharma
法爾天成	Dharma As It Is Naturally
法爾如是	Dharma As It Is
法爾自然	The Dharma Is As Natural As It Is
法樂	Dharma Joy
法樂為樂	Dharma Joy as Happiness
物華天寶，人傑地靈	Essence of all Matters and Gems of Nature, A Remarkable Place that Gives Birth to Outstanding People
直下承當	Immediate Acceptance of Responsibilities
直心道場	A Straightforward Mind is the Place for Awakening
知人用人	Know Well the People Whose Ability You Are Utilizing
知人者智	The Wise Knows the Heart of Others
知人善用	Know and Utilize Others Well
知仁	Know Your Benevolence
知天知命	Know the Ways of Heaven and One’s Life
知心見道	Understand One’s Mind and See the Way
知心為貴	Intimate Friends Are Invaluable
知止知足	Know When to Stop When to be Content
知行合一	Unity of Knowledge and Action
知行合十	Show Respect Through One’s Knowledge and Practice
知足	Contentment
知足心安	Contentment Brings Peace
知足平安	Contentment Brings Peace
知足為富	Contentment is Wealth
知足為貴	Contentment is Precious
知足為福	Contentment is a Fortune
知足能忍	The Contented are Patient
知足常樂	Contentment Brings Eternal Happiness
知足常樂，能忍自安	Contentment Brings Eternal Happiness That Can Bring Tolerance and Safety
知足富貴	Contentment Is a Wealth
知足無憂	Contentment and No Worries
知命不惑	Clearly Know Your Obligations
知拙	Know Your Shortcomings
知恩為富	Gratitude is Wealth
知恩惜福	Have Gratitude and Cherish One’s Blessings
知恩惜緣	Have Gratitude and Cherish Affinities
知愚	Acknowledge Your Ignorance
知愧	Understand Shame
知愧	Have a Sense of Shame
知義	Be Aware of Righteousness
知道	Knowing
知道心安	Peace of Mind Comes from Awareness of the Way
知道我心	Understands My Mind
知錯美德	The Virtue of Admitting One’s Faults
知禪	Know What Chan Is
社會和諧	Harmonious Society
空！	Emptiness!
空中妙有	Wondrous Existence in Emptiness
空心	A Mind of Emptiness
空有一如	Emptiness and Existence Are One
空有不二	Non-duality of Emptiness and Existence
空谷幽蘭	Serene Orchid in the Empty Valley
空谷幽蘭，松柏山居	Serene Orchid in the Empty Valley, Secluded Life Amongst the Pine and Fir Trees
空為吾家	Emptiness is Home
空界	The Realm of Emptiness
空容十方	The Vast Emptiness Can Embrace All
空容萬有	Emptiness Embraces All
空容萬象	Emptiness Embraces Ten Thousand Images
空容萬象是吾家	My Home the Vast Emptiness Holding the Myriad Phenomena
空無為樂	Find Joy in Emptiness and Nothingness
空間	Space
空慧	Wisdom of Emptiness
肯定自己	Affirm Oneself
芬陀利華	Pundarika
花好月圓	A Beautiful Flower and Perfect Moon
花好月圓，茶禪一味	A Beautiful Flower and Perfect Moon Chan and Tea are of One Taste
花好月圓，雲淡風輕	A Beautiful Flower and Perfect Moon, Let the Past Be in the Past
花果心香	A Mind as Fragrant as Flowers and Fruits
花果香美	Sweet Fragrance and Beautfy of Flower and Fruit
花果圓成	A Harvest of Flowers and Fruits
花果圓滿	Fruitful and Perfect Outcomes
花香月明	Fragrant Flower and Bright Moon
花香果滿	Fragrant Flowers and Bountiful Fruits
花開四季	Blossoming Flowers in All Four Seasons
花開四季，合家平安	Blossoming Flowers in All Four Seasons Peace for the Whole Family
花開見佛	See the Buddha in a Blossoming Flower
花開果滿	Flowers Blossom and Fruits Ripen
花開福來	Fortune Comes as the Flowers Bloom
近悅遠來	Bring Happiness to Those Who Are Near to Attract the Far
金山玉水	Like a Mountain of Gold and River of Jade
金山玉水，吉慶人家	Like a Mountain of Gold and River of Jade, A Family of Auspicious Blessings and Celebrations
金玉人品	A Noble Character Like Jade and Gold
金玉美婷	Precious Gold and Jade are like Beauty and Grace
金玉滿堂	A House Filled With Treasures of Gold and Jade
金玉福人	A Blessed One with Precious Gold and Jade
金玉福門	A Fortunate Family Filled With Treasures of Gold and Jade
金玉福門	A Blessed Family Like Gold and Jade
金石開放	Sincerity Splits Open Hard Metal and Stone
金光性明	Golden Light, Clear Nature
金光明	Golden Light
金光明心	The Mind of Golden Light
金光明性	The Nature of Golden Light
金光明淨	A Pure and Golden  Brightness
金面如來	The Golden Face of Tathagata
金面慈悲	The Golden Face of Compassion
金蓮妙界	Wondrous Realm of the Golden Lotus
長生庫	The Treasury of Longevity
長保安康	Everlasting Peace and Health
門迎百福	Welcoming Door for Endless Blessings
門裏門外	Inside and Outside the Door
阿彌陀佛	Amitabha Buddha
青山不老	Green Mountains Don't Turn Old
青山不老，活水長流	Evergreen Mountain, Everflowing Spring
青山活水	The Green Mountains and Free-flowing Water
青山福海	Mountains of Green and Oceans of Blessings
青雲直上	Rise to Success
信心如海	Faith is Like the Ocean
信心門	The Gate of Faith
信心門開	The Gate of Faith is Opened
信心為門	Faith as Gateway
信心慧海	Faith and Ocean of Wisdom
信者有慶	One’s Faith Should Be Celebrated
信為道本	Faith is the Root of the Way
信為道源	Faith is the Source of the Way
信智如海	Faith and Wisdom like the Ocean
信智如海	Faith and Wisdom like the Ocean
信慈人和	Honor, Compassion, and Harmony
信敬入門	Faith and Respect is the Way to Enter the Gate
信義	Faith and Honor
信義人生	A Life of Faith and Honor
信義仁者	The Benevolent with Faith and Honor
信義仁道	Honor, Righteousness, Benevolence, the Way
信義和平	Righteousness and Peace
信義為友	Faith and Honor Are Your Companion
信解行証	Belief, Understanding, Practice, and Realization
信願行	Belief, Vow and Practice
前程有望	A Hopeful Future
前程似錦	Splendid Prospects
前進希望	Progress With Hope
前進思索	Foward Thinking
前頭有路	There is a Path Ahead
剎那	Ksana
勇者無畏	The Courageous is Fearless
南無佛	Homage to the Buddha
南無阿彌陀佛	Homage to Amitabha Buddha
南無觀世音菩薩	Homage to Avalokitesvara Bodhisattva
南華大學	Nan Hua University
厚道	Honesty and Kindness
厚道有福	Honesty and Kindness is a Blessing
厚道載物	Honesty and Kindness Can Carry All Things
厚福	Profound Blessings
厚德	Great Virtue
厚德載物	Profound Virtue is the Support for Everything
厚德載福	Virtues Carry Merits
品味	Elegance
品味人生	A Taste of Life
品牌	Brand Name
威德福海	Awe-Inspiring Virtue and Ocean of Prosperity
室雅人和	Elegant Atmosphere and Harmonious People
幽谷蘭香	Fragrant Orchid In a Deep Valley
度一切苦厄	Overcome All Sufferings
度比江河	Superb Achievements
待人以誠	Be Sincere to Others
待人如己	Treat Others As Oneself
待人要寬嚴得宜	Be Appropriately Tolerant or Strict Towards Others
待人須方圓自在	Treat Others With an Appropriate Levels of Expectation, Flexibility, and Perfect Ease
思前想後	Careful Deliberation
思敏力行	Think Wisely and Act Steadfastly
思源	Remember Your Origin
思維	Thinking
恆定不失	Be Persistent Without Losing Focus
恒思諸善	Be Mindful of One’s Thoughts
恬淡	Unattached and Content
恬淡自在	Detached and At Perfect Ease
恬淡自如	Remain Unattached and Content With Perfect Ease
恬淡明心	Quietude and Contentment Brings Forth a Clear Mind
政通人和	Feasible Policy Will Bring Peace to the People
政通人和，吉星高照	Feasible Policy Will Bring Peace to the People Auspicious Star Shining High Above
政道仁心	The Way of Government: Benevolence
施受同功	Equal Merits in Giving and Receiving
施無畏	The Giver of Fearlessness
星光雲水	Starry Light and Flowing Cloud
星雲	Cloud and Star
春花秋月	Spring Flowers and Autumn Moon
春雨	Spring Rain
春風化雨	Spring Breeze and Rain
春風來了	Spring Breeze Is Here
春風得意	Ride on the Crest of Success
春華秋實	Glorious Spring and Genuine Autumn
昨非今是	Correct Yesterday's Mistakes
昨非今悟	Enlighten from Your Past Mistakes
昨非今悟	Awaken to Yesterday's Wrongdoings Today
昨悟今覺	Let Yesterday's Enlightenment Become Today's Awakening
昨迷今悟	Ignorant Yesterdays, Enlightened Todays
是法平等 無有高下	Dharma is Equal, Without High or Low
柔軟心	A Soft and Gentle Heart
洞然明白	Clearly Understood
活力人生	A Life with Vitality
活力生機	Energy and Vitality
活力泉源	Spring of Energy
活水	Flowing Water
活水人生	A Life Like Flowing Water
活水人生
清涼自在	A Life Like Free-flowing Water
Remain Calm and At Perfect Ease
活水心泉	The Mind's Free-flowing Spring
活水心源	Let the Mind's Spring Flow Freely
活水心禪	Free-flowing Water is the Way of Chan
活水甘泉	Sweet and Flowing Spring
活水甘泉
清涼自在	Sweet and Flowing Spring
Remain Calm and At Perfect Ease
活水生命	Life as Free-flowing Water
活水生機	Free-flowing Water is Vitality
活水我心	My Mind is Like Free-flowing Water
活水金光	Free-Flowing Water and Golden Light
活水流心	Keep the Mind Alive Like Free-Flowing Water
活水清流	Free-Flowing Water Runs Pure
活水慈心	Free-Flowing Water is like a Mind of Loving Kindness
活水禪悟	Awakening to Chan Like Free Flowing Water
活出希望	Live With Hope
活在定中	Live within Samadhi
活在當下	Live in the Present Moment
活禪	Living Chan
為眾服務	Serve the Multitude
為善常樂	Doing Good Brings Constant Happiness
為善最好	Doing Good Is the Best
為善最樂	Good Deeds Bring the Greatest Happiness
為興佛教	To Revitalize Buddhism
珍惜生命	Cherish Life
珍惜因緣	Cherish Causes and Conditions
珍惜當下	Cherish the Present Moment
皆大歡喜	A Win-Win Situation For All
相好园滿	A Perfect Appearance
相知知心	Understand and Know Each Other’s Heart
秋月淨華	The Autumn Moon and Pure Flowers
秋月淨華，雲水禪心	The Autumn Moon and Pure Flowers Cloud and Water
秋月禪心	The Chan Mind is Seen in the Autumn Moon
紅塵白浪兩茫茫，忍辱柔和是妙方，到處隨緣延歲月，終身安份度時光	The Red Dusts and White Waves are Both Illusive, Tolerance and Gentleness are the Best Prescription, Following Conditions Everywhere Extends One's Lifetime, Abiding in Ease During One's Life, Time Passes
美人美心	A Beautiful Person and Heart
美化因緣	Beautify Causes and Conditions
美心美人	Only a Beautiful Heart Makes a True Beauty
美心淨蓮	A Heart as Beautiful as the Pure Lotus
美食傳香	Aroma of Delicacies
美滿人間	A Happy and Beautiful World
耐煩有恆	Patience and Persistence
要走正路	Follow the Path of Righteousness
風月禪心	The Chan Mind of Wind and Moon
風雨信心	Keep Faith Through the Wind and Rain
風儀萬千	A Wonderful and Graceful Bearing
飛	Fly
飛揚十方	Soar Far and Wide
食香妙味	Wondrous Taste and Aroma
香口	Fragrant Speech
香口美心	Pleasant Speech, Beautiful Heart
香水海	The Perfume Ocean
香水禪心	The Fragrant Chan Mind
香林	Fragrance of Monastery
香風	Fragrant Breeze
香風時雨	Be a Fragrant Breeze and Timely Rain
香風慈雨	Fragrant Wind and Compassionate Wind
香海法水	Fragrant Ocean and Dharma Water
香雲春風	Fragrant Clouds and Spring Breeze
修心養性	Cultivate the Mind and Nurture One’s Nature
修心養量	Cultivate the Mind and Foster Magnanimity
修身養性	Cultivate the Body and Nourish One's Nature
修剪荒蕪	Tending Life's Garden
修道人	Spiritual Practitioner
修學真心	Cultivate and Attain a Truthful Heart
俱諸佛法	Be Complete in All Buddha's Teachings
凌雲壯志	Soaring Aspirations
原人	Original Nature
家在天下	The World is Your Home
家好人和	A Happy and Harmonious Family
家有吉慶	There are Celebrations for the Family
家有老小，福報必到	A Family of Many Generations, Is a Home of Fortune and Merits
家有萬福	A Family of Infinite Blessings
家园春風	Spring Breeze at Home
家和人好	A Harmonious Family Nurtures a Good Character
家和人安	A Harmonious Family is the Best Settlement
家和人安，慈心命好	A Harmonious Family Is the Best Settlement, A Compassionate Heart Leads a Good Life
家和人旺	Harmony Makes a Family Prosperous
家和之美	The Beauty of a Harmonious Family
家和心安	A Harmonious Family is a Mind at Peace
家和平安	A Harmonious Family Brings Peace
家和同心	Family Unity Comes From Harmony
家和幸福	Harmony Means Happiness in a Family
家和萬福	A Harmonious Family Brings Infinite Blessings
家居安忍	Abide in Peace and Patience
家室吉祥	Auspiciousness in the House
家庭和順	Family Harmony Achieved Through Deference
家順人和	Respect and Harmony Within the Family
家慶	Family Celebration
庭前柏樹子	Cypress In Front of the Courtyard
恕道	Forgiveness
恕道人心	Forgiveness In One's Mind
恕道仁心	Forgiveness is a Way of Benevolence
恕道為心	A Forgiving Mind
恕道寬心	Forgive and Open Your Mind
恕道寬心，人和為貴	Forgive and Open Your Mind, Harmony is the Most Precious
恩義人生	A Life Lived in Gratitude and Righteousness
恩義天下	Gratitude and Righteousness for the World
悟也麼?	Awakened Yet?
悟心有道	An Awakened Mind Knows Its Path
悟心明禪	Enlightened Mind and Understanding of Chan
悟心活水	An Enlightened Mind Flows Freely Like Water
悟心為禪	An Enlightened Mind is Chan
悟心無我	Awaken to a Mind of Selflessness
悟心道成	Awakened Mind and Attained Enlightenment
悟心道念	Awakening Mind and Persistence in the Path
悟心禪道	Enlightened Mind and Way of Chan
悟心覺道	Enlightened Mind and Awakening Path
悟由心開	Enlightenment is Attained by an Open Mind
悟因明果	Awaken to the Cause, Remain Clear of the Effect
悟在一心	Enlightenment is Attained With Singlemindedness
悟在今朝	Enlightenment is Attained in the Present Moment
悟在心中，道在當下	Awakening is in the Mind, The Path is in the Present Moment
悟在我心	Enlightenment is Within My Mind
悟在真心	Awakening Comes From a True Mind
悟在真情	Awaken Within Truthfulness
悟在當下	Enlightenment is in the Present Moment
悟佛知見	Realize the Knowledge and Views of the Buddha
悟忍	Awakened Patience
悟忍大慈	Awaken to the Essence of Patience and Great Compassion
悟明心道	Awaken to and Understand the Way of the Mind
悟知人我	Awaken to the Way of People
悟知人情	Awaken to the Ways of the People
悟知古今	Awaken to the Past and Present
悟知因緣	Awaken to and Know the Causes and Conditions
悟空享有	Awaken to Emptiness and Appreciate Existence
悟情入道	Awaken to the Way of the World and Enter the Path
悟無生忍	Awaken to Non-arising Tolerance
悟無生忍	Awaken to Non-arising Tolerance
悟慈心善	Awakenment to Compassion Will Also Make the Mind Virtuous
悟道	Awaken to the Path
悟道人生	Live With Awakenment to the Path
悟道明心	Awaken to the Way and Be Clear of the Mind
悟道禪心	A Chan Mind Awakenes to the Way
悟禪	Enlightened of Chan
時空無量	Infinite Time and Space
書香人生	Living in the Fragrance of Books
書香人家	A Family Filled With the Fragrance of Books
書香仁風	The Fragrance of Books and Breeze of Benevolence
書香生活	Live in the Fragrance of Books
書香花開	Fragrance of Books and Opening of Flowers
書香為友	Fragrance of Books Are Your Companion
書香為友，生活美學	Fragrance of Books Are Your Companion, The Esthetics of Life
書香為家	Abide in the Fragrance of Books
書香氣	Fragrance of Books
書香貴氣	The Fragrance and Nobility of Reading
書香傳家	Pass Down the Tradition of Reading in the Family
根不入塵	Let the Sense Organs Not Become Incorporated into External Objects
根塵不合	Let the Sense Organs Not Become Incorporated into External Objects
氣壯山河	Magnificent Like the Mountain and River
氣度如山	A Bearing as Majestic as the Mountains
氣象萬千	Majestic in All Its Variety
氣勢	Imposing Manner
泰然	Calm and Composed
泰然自在	Remain Calm and At Ease
泰然自若	Act With Perfect Composure
浩然正氣	Awe-inspiring Righteousness
浩然正氣，淡泊養心	Awe-inspiring Righteousness, Detachment Fosters the Mind
海空之量	A Capacity Like that of the Ocean and Sky
海納百川，空容萬有	The Ocean Accepts All Waters, The Vast Emptiness Embraces All Matters
海納百川，有容乃大	The Ocean Accepts All Waters, Tolerance Makes Greatness
海納百川	The Ocean Accepts All Waters
海納百川流不盡	The Ocean an Endless Gathering of Water From a Hundred Rivers
海量	Be as Magnanimous as the Ocean
涅槃妙心	Nirvana as Wondrous Mind
涅槃寂靜	Nirvana and Tranquility
琉璃世界	Lapis Lazuli World
益世利人	Benefit the World and Humanity
真心	The True Mind
真心不二	Be One with the True Mind
真心如如	The True Mind as Thus
真心性海	Ocean of True Mind and Nature
真如無相	Tathata and Formless Characteristics
真空不空	True Emptiness is Not Actually Empty
真空妙有	From True Emptiness Comes Wondrous Existence
真情真義	Genuine Sentiment and Righteousness
真理為宗	Truth is the Essence
真善美	Truth, Virtue, and Beauty
神靜心安	Tranquility and Peace
納福吉祥	Auspiciousness Comes from Embracing Your Blessings
耕耘心田	Cultivate the Mind's Field
胸懷大千	Emrace the Whole World
胸懷大志	Have Great Aspirations
胸懷法界	Embrace the Dharma Realm in the Mind
胸懷法界，志在千里	Embrace the Dharma Realm in the Mind Aspirations As Far As Thousands of Miles
能仁寂默	Sakyamuni
能忍自安	Patience Will Bring Peace
能知善用	Learn to Use Your Knowledge Wisely
能施為德	The Ability to Give is a Virtue
能動能靜	Enjoy Both States of Being Still and Active
能捨會得	Giving Comes Before Gaining
般若	Prajna Wisdom
般若生活	Live with Prajna Wisdom
般若自在	Prajna Wisdom and Perfect Ease
般若性海	Prajna Wisdom and Ocean of Nature
般若波羅蜜	Prajnaparamita
般若空慧	Wisdom of Prajna and Emptiness
般若花開	Prajna Flower Blossoms
般若海	The Ocean of Prajna Wisdom
般若智	Prajna Wisdom
般若智海	The Ocean of Prajna Wisdom
茶飯禪	Eating and Drinking is a Way of Chan
茶禪	Tea Chan
茶禪一味	Chan and Tea are of One Taste
茶禪一味，花好月圓	Chan and Tea are of One Taste, A Beautiful Flower and Perfect Moon
草木生光	Light Emits from the Grass and Trees
財源廣進	Plentiful Attainment of Wealth
迷悟在人	There is a Choice Between Ignorance and Enlightenment
退一步海濶天空	A Step In Retreat Makes One’s World Bigger
逆增上緣	Treat Adverse Conditions as Contributory Conditions
馬到成功	Speedy Attainment of Success
高山仰止	Look up to and Rely on the High Mountains
高山流水	Water Flowing from the High Mountains
高山雲飛	A Cloud That Floats Above the High Mountains
高瞻遠矚	Look Far Ahead and Aim High；To see Far and Wide
做己貴人	The One Who Helps You Succeed is Yourself
做自己的貴人	The One Who Helps You Succeed is Yourself
健康富樂	Health is Wealth and Happiness
動靜一如	Remain the Same in Movement or Stillness
唯法所依	Rely On Nothing Other Than the Dharma
唯善唯美	For the Good and For the Beautiful
問渠哪得清如許，為有源頭活水來	When Asked How the Water is so Clear; It Comes Only From a Free-Flowing Source
國恩家慶	Gratitude to the Country, and Celebration Within the Family
培養善緣	Foster Good Conditions
堅定善念	Strengthen Wholesome Thoughts
寂定	Tranquil Concentration
寂然澄心	A Silent and Clear Mind
寂靜	Tranquility
密護根門	Guard the Sensory Faculties Closely
常保安康	Always Maintain Good Health
常樂我淨	Eternity, Bliss, Self, and Purity
常樂柔和忍辱法	Find Joy in Being Gentle and Patient
康寧寺	Kang Ning Temple
從心出發	Arising from the Mind
從容	Calm and Composed
從容生活	Live Calmly and Composed
從容自在	Calm and Composed Makes One Carefree
從善如流	Forge Ahead in Doing What is Right
您好	How Do You Do?
您我同行	You and I, Side By Side
情深義切	Deep Love and Profound Righteousness
情義	Commitment and Righteousness
情義人生	A Life Lived in Commitment and Righteousness
情義人生，有您真好	A Life Lived in Commitment and Righteousness, It’s Good to Have You
情義人生，唯善唯美	A Life Lived in Commitment and Righteousness For the Good and For the Beautiful
情義人間	A Life Lived in Commitment and Righteousness
情義天下	Commitment and Righteousness for the World
惜今	Cherish the Now
惜生	Cherish Life
惜命護生	Cherish Life
惜情	Cherish Affections
惜福	Cherish One’s Blessings
惜緣	Cherish Affinities
惜緣人	Cherisher of Connections
惜緣人	Cherisher
惟賢惟德	Only Capable and Virtuous
捨我其誰	Who Else But Me?
捨得	Be Willing To Give
掛一單	Take Up a Place of Stay
晝夜吉祥	Auspiciousness Day and Night
梅枝茶香	Plum Branch and Fragrant Tea
梅蘭光華	The Glory of Plum Blossom and Orchid
梅蘭風華	Graceful Bearing of the Plum and Orchid
梅蘭菊竹	Plum, Orchid, Chrysanthemum and Bamboo
淡心	An Ordinary Mind
淡出妄緣	Let Delusive Conditions Subside
淡定	Carefree and Peaceful
淡泊	Simplicity
淡泊人生	A Simple Life
淡泊人生，安然自在	A Simple Life, Peaceful and Carefree
淡泊心安	Detachment Brings Peace to the Mind
淡泊生活	Live in Simplicity
淡泊名利	Seek Not of Fame nor Wealth
淡泊安然	A Simple Life Brings Peace
淡泊明心	A Detached and Clear Mind
淡泊明志	Detachment and Clear Aspiration
淡泊明志，寧靜致遠	Detachment and Clear Aspiration, Still Water Runs Deep
淡泊知足	Find Contentment in Simplicity
淡泊高風	The Nobility of Detachment
淡泊情義	Sentiment and Righteousness Shown Through Detachment
淡泊養心	Cultivate the Mind with Detachment
