reference_no,volume,no_scrolls,title_zh,title_pinyin,title_en,attribution_zh,attribution_method_zh,attribution_en,attribution_method_en,dynasty_zh,dynasty_en,date_range,summary,notes,previous_source,source_url,source_access_date
1069,20,3,十一面觀自在菩薩心密言念誦儀軌經,Shiyi Mian Guanzizai Pusa Xin Miyan Niansong Yi Gui Jing,Ritual Manuals for the Recitation of the Secret Mind Mantra of the Eleven-Faced Avalokiteśvara,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,"Provdes the text of mantras and describes visualization, mudras, homa (fire ritual), and carving a wooden sculpture of Avalokiteśvara. Closely related in content to T 901, T 1070, and T 1071.","Date 720-774 from Lancaster (2004, 'K 1286')",Korean Canon,http://tripitaka.cbeta.org/T20n1069,2016-10-08
1070,20,1,佛說十一面觀世音神呪經,Fo Shuo Shiyi Mian Guanshiyin Shen Zhou Jing,Avalokiteśvaraikādaśamukhadhāraṇīsūtra,耶舍崛多,譯,Yaśogupta,Translated,北周,Northern Zhou,564-572,"Provdes the text of mantras, the benefits of reciting them, including liberating sentient beings from suffering, curing sickness, and eradicating hindrances. The text also describes carving a wooden sculpture of Avalokiteśvara. Closely related in content to T 901, T 1069, and T 1071.","Sanskrit title and date 564-572 from Lancaster (2004, 'K 309')",Korean Canon,http://tripitaka.cbeta.org/T20n1070,2016-10-08
1071,20,1,十一面神呪心經,Shiyi Mian Shen Zhou Xinjing,Avalokiteśvaraikādaśamukhadhāraṇīsūtra,玄奘,譯,Xuanzang,Translated,唐,Tang,656,"Provdes the text of mantras, ritual procedure for reciting it, and the benefits. It also describes carving a wooden sculpture of Avalokiteśvara. The content is closely related in content to T 1069, T 1070, and T 1071.","Sanskrit title and date 656 from Lancaster (2004, 'K 310')",Korean Canon,http://tripitaka.cbeta.org/T20n1071,2016-10-08
1072A,20,2,聖賀野紇哩縛大威怒王立成大神驗供養念誦儀軌法品,Sheng He Ye Ge Li Fu Da Wei Nu Wang Li Cheng Da Shen Yan Gongyang Niansong Yi Gui Fa Pin,"The Tantric Ritual Methods of Offerings and Recitations for the Revelation of the Divine Powers of the Saintly Hayagrīva, the Awesome Ferocious King",不空,譯,Amoghavajra,Translated,唐,Tang,618-907,"The text gives words of praise for the wrathful but benevolent deity Hayagrīva, mantras, and ritual procedures.","This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本, ＜甲＞久安六年寫高山寺藏本, ＜乙＞寛治八年寫高山寺藏本 Source: Buzan college Canon version, published in the Kyōhō era [1716-1736]; 1. manuscript from the Takayama Temple collection, 6th year of the Kyūan era [1145-1151]; 2. manuscript from the Takayama Temple collection, 8th year of the Kanji era [1087-1094].",Buzan college Canon,http://tripitaka.cbeta.org/T20n1072A,2016-10-08
1072B,20,1,馬頭觀音心陀羅尼,Ma Tou Guanyin Xin Tuoluoni ,Hayagriva Heart Dharani,,,,,,,,Siddham text for the dharani. See also T 1072A.,This text contains Siddham characters that are not displayed in the NTI Reader. See <a href='https://21dzk.l.u-tokyo.ac.jp/SAT/satdb2015.php'>SAT</a> to view the Siddham text. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞東寺三密藏古寫本 Source: Tō-ji Sanmitsu Canon old manuscript.,Sanmitsu Canon,http://tripitaka.cbeta.org/T20n1072B,2016-10-08
1073,20,1,何耶揭唎婆像法,Heyejielipo Xiang Fa,Hayagriva Image Ritual,,,,,,,,"An esoteric ritual relating to the deity Hayagriva, of of the eight great wisdom kings. The text describes the image of Hayagriva and mantras for curing illness, mudras, keeping away evil spirits, and protection of the body.","This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享和年間刊豊山大學藏本, ＜甲＞天永五年寫東寺三密藏本, ＜乙＞天永四年寫東寺三密藏本, ＜丙＞平安時代寫仁和寺藏本 Source: Buzan college Canon, published Kyōwa era [1801-1804]; 1. Tō-ji Sanmitsu Canon manuscript, 5th year of the Ten'ei era [1110-1113]; 2. Tō-ji Sanmitsu Canon manuscript, 4th year of the Ten'ei era [1110-1113]; 3. Ninna-ji collection manusript Heian Period [794-1192].",Buzan college Canon,http://tripitaka.cbeta.org/T20n1073,2016-10-08
1074,20,1,何耶揭唎婆觀世音菩薩受法壇,Heyejielipo Guanshiyin Pusa Shou Fa Tan,Hayagriva and Avalokitesvara Ritual Mandala,,,,,,,,See T 1073.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豐山大學藏本, ＜甲＞天永五年寫東寺三密藏本, ＜乙＞天永四年寫東寺三密藏本, ＜丙＞平安時代寫仁和寺藏本 Source: Buzan college Canon, published Kyōwa era [1801-1804]; 1. Tō-ji Sanmitsu Canon manuscript, 5th year of the Ten'ei era [1110-1113]; 2. Tō-ji Sanmitsu Canon manuscript, 4th year of the Ten'ei era [1110-1113]; 3. Ninna-ji collection manusript Heian Period [794-1192].",Buzan college Canon,http://tripitaka.cbeta.org/T20n1074,2016-10-08
1075,20,1,佛說七俱胝佛母准提大明陀羅尼經,Fo Shuo Qi Juzhi Fomu Zhun Ti Da Ming Tuoluoni Jing,Cundīdevīdhāraṇīsūtra,金剛智,譯,Vajrabodhi,Translated,唐,Tang,723,See T 1077.,"Sanskrit title and date 723 from Lancaster (2004, 'K 315')",Korean Canon,http://tripitaka.cbeta.org/T20n1075,2016-10-08
1076,20,1,七俱胝佛母所說准提陀羅尼經,Qi Juzhi Fomu Suo Shuo Zhun Ti Tuoluoni Jing,Cundīdevīdhāraṇīsūtra,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,See T 1077.,"Sanskrit title and date 720-774 from Lancaster (2004, 'K 1338')",Korean Canon,http://tripitaka.cbeta.org/T20n1076,2016-10-08
1077,20,1,佛說七俱胝佛母心大准提陀羅尼經,Fo Shuo Qi Juzhi Fomu Xin Da Zhun Ti Tuoluoni Jing,Cundīdevīdhāraṇīsūtra,地婆訶羅,譯,Divākara,Translated,唐,Tang,685,"In the text opening, the Buddha observes that sentient beings would suffer in the future, so he taught the Cundī Dhāraṇī. The dhāraṇī follows. The merits are then described, mentioning that those who uphold and recite the dhāraṇī will have all sins erased (80,000 times for all varieties of sins). Details of the ritual follow.","Sanskrit title and date 685 from Lancaster (2004, 'K 314')",Korean Canon,http://tripitaka.cbeta.org/T20n1077,2016-10-08
1078,20,1,七佛俱胝佛母心大准提陀羅尼法,Qi Fo Juzhi Fomu Xin Da Zhun Ti Tuoluoni Fa ,Goddess of Seven Koti of Buddhas Cundi Heart Dharani Ritual,善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,618-907,See T 1077.,"The text has some Siddham script that is not displayed in the NTI Reader. See <a href='https://21dzk.l.u-tokyo.ac.jp/SAT/satdb2015.php'>SAT</a> for this. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享和元年刊長谷寺藏本 Source: Hase-dera Canon version, published in the first year of the Kyōwa era [1801-1804 ].",Hase-dera,http://tripitaka.cbeta.org/T20n1078,2016-10-08
1079,20,1,七俱胝獨部法,Qi Juzhi Du Bu Fa,Goddess of Seven Koti Ritual,善無畏,譯,Śubhakarasiṃha,Translated,唐,Tang,618-907,An expanded description of the ritual for the Cundi Dharani. See also T 1077.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享和元年刊長谷寺藏本 Source: Hase-dera Canon version, published in the first year of the Kyōwa era [1801-1804 ].",Hase-dera,http://tripitaka.cbeta.org/T20n1079,2016-10-08
1080,20,1,如意輪陀羅尼經,Ruyi Lun Tuoluoni Jing,Padmacintāmaṇidhāraṇīsūtra,菩提流志,譯,Bodhiruci,Translated,唐,Tang,709,"A text describing one of the main dharanis and associated esoteric ritual practiced to avoiding misfortune and pray for blessings. The text has ten sections. Avalokitesvara requests teaching from the Buddha and then by the power of the Buddha recites several dharanis. The merits of the dharanis are described and the ritual procedure. There are several other notable translations of this sutra: T 1081, T 1082, and T 1083.","Sanskrit title and date 709 from Lancaster (2004, 'K 298')",Korean Canon,http://tripitaka.cbeta.org/T20n1080,2016-10-08
1081,20,1,佛說觀自在菩薩如意心陀羅尼呪經,Fo Shuo Guanzizai Pusa Ruyi Xin Tuoluoni Zhou Jing,Padmacintāmaṇidhāraṇīsūtra,義淨,譯,Yijing,Translated,唐,Tang,710,See T 1080.,"Sanskrit title and date 710 from Lancaster (2004, 'K 297')",Korean Canon,http://tripitaka.cbeta.org/T20n1081,2016-10-08
1082,20,1,觀世音菩薩祕密藏如意輪陀羅尼神呪經,Guanshiyin Pusa Mimi Cang Ruyi Lun Tuoluoni Shen Zhou Jing,Padmacintāmaṇidhāraṇīsūtra,實叉難陀,譯,Siksananda,Translated,唐,Tang,700-704,See T 1080.,"Sanskrit title and date 700-704 from Lancaster (2004, 'K 296')",Korean Canon,http://tripitaka.cbeta.org/T20n1082,2016-10-08
1083,20,1,觀世音菩薩如意摩尼陀羅尼經,Guanshiyin Pusa Ruyi Moni Tuoluoni Jing,Padmacintāmaṇidhāraṇīsūtra,寶思惟,譯,Ratnacinta,Translated,唐,Tang,693-706,See T 1080.,"Sanskrit title and date 693-706 from Lancaster (2004, 'K 295')",Korean Canon,http://tripitaka.cbeta.org/T20n1083,2016-10-08
1084,20,1,觀世音菩薩如意摩尼輪陀羅尼念誦法,Guanshiyin Pusa Ruyi Moni Lun Tuoluoni Niansong Fa,Avalokitesvara Bodhisattva Mani Jewel Wheel Dharani Liturgy,寶思惟,譯,Ratnacinta,Translated,唐,Tang,618-907,"Gives the text of the dharani and describes the esoteric ritual for chanting it, including mudras.",This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞東寺三密藏古寫本 Source: Tō-ji Sanmitsu Canon old manuscript.,Sanmitsu Canon,http://tripitaka.cbeta.org/T20n1084,2016-10-08
1085,20,1,觀自在菩薩如意輪念誦儀軌,Guanzizai Pusa Ruyi Lun Niansong Yi Gui,Avalokitesvara Bodhisattva Mani Jewel Wheel Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,Describes an esoteric ritual related to Cintamanicakra Avalokitesvara.,"Date 720-774 from Lancaster (2004, 'K 1323')",Korean Canon,http://tripitaka.cbeta.org/T20n1085,2016-10-08
1086,20,1,觀自在菩薩如意輪瑜伽,Guanzizai Pusa Ruyi Lun Yujia,Avalokitesvara Bodhisattva Mani Jewel Wheel Yoga,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,Describes an esoteric ritual performed within a mandala and gives dharanis. The symbolism of the six arms of Cintamanicakra Avalokitesvara is explained.,"Date 720-774 from Lancaster (2004, 'K 1379')",Korean Canon,http://tripitaka.cbeta.org/T20n1086,2016-10-08
1087,20,1,觀自在如意輪菩薩瑜伽法要,Guanzizai Ruyi Lun Pusa Yujia Fa Yao,Avalokitesvara Bodhisattva Mani Jewel Wheel Yoga Ritual Outline,金剛智,譯,Vajrabodhi,Translated,唐,Tang,730,See T 1086.,"Date 730 from Lancaster (2004, 'K 472')",Korean Canon,http://tripitaka.cbeta.org/T20n1087,2016-10-08
1088,20,1,如意輪菩薩觀門義注祕訣,Ruyi Lun Pusa Guan Men Yi Zhu Mi Jue,Cintāmaṇicakra Bodhisattva Teaching of the Secret Method,,,,,,,,Includes mantras and esoteric ritual instructions. Part of the Sanjuji sakushi by Kūkai.,"This text contains Siddham characters that are not displayed in the NTI Reader. See <a href='https://21dzk.l.u-tokyo.ac.jp/SAT/satdb2015.php'>SAT</a> to view these. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞黄檗版淨嚴等校訂加筆本塚本賢曉氏藏, ＜甲＞三十帖策子第二十七 Source: Ōbaku Canon version with revisions and notes by Jōgon, Tsukamoto family collection; 1. 27th sheet of the Sanjuji sakushi.",Ōbaku Canon,http://tripitaka.cbeta.org/T20n1088,2016-10-08
1089,20,1,都表如意摩尼轉輪聖王次第念誦祕密最要略法,Dou Biao Ruyi Moni Zhuanlun Sheng Wang Cidi Niansong Mimi Zui Yao Lue Fa,Summary List of Cintāmaṇi Chakravarti Raja Recitation and Rituals,解脫師子,譯,Jietuo Shizi,Translated,唐,Tang,618-907,"A list of short summaries of different rituals and related items: 1. 相貌 countenance, 2. 大心密言 Great Bodhi Secret Mantra, 3. 根本密言 Root Secret Mantra, 4. 小心密言 Lesser Minded Secret Mantra, 5. 成就世間出世間除災護摩念誦 Transcendental Attainment Homa Ritual for Avoiding Misfortune, 6. 增益福德 Increasing Blessing, 7. 隨心憶念 Wish Fulfilling Thoughts, 8. 阿毘遮噜迦 Abhicaraka (overcoming adversaries).","This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本, ＜甲＞平安時代寫東寺三密藏本 Source: Buzan college Canon version, published in the Kyōhō era [1716-1736]; 1. manuscript from Tō-ji Sanmitsu Canon, Heian Period [794－1192].",Buzan college Canon,http://tripitaka.cbeta.org/T20n1089,2016-10-08
1090,20,1,佛說如意輪蓮華心如來修行觀門儀,Fo Shuo Ruyi Lun Lianhua Xin Rulai Xiuxing Guan Men Yi,Cintāmaṇi Chakra Lotus Tathagata Cultivation and Contemplation Ritual,慈賢,譯,Ci Xian,Translated,宋,Song,960-1279,Describes the teaching of the Cintamanicakra Avalokitesvara ritual with mantras and pentasyllabic verse to be chanted.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞明本 Source: Ming Canon.,Ming Canon,http://tripitaka.cbeta.org/T20n1090,2016-10-08
1091,20,1,七星如意輪祕密要經,Qi Xing Ruyi Lun Mimi Yao Jing,Scripture on the Secret Essentials of Cintāmaṇicakra and the Great Dipper,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,The text describes worship of the Big Dipper and Heavenly deities in a mixture of prose and heptasyllabic Chinese verse.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享和元年刊長谷寺藏本 Source: Hase-dera Canon version, first year of the Kyōwa era [1801-1804].",Hase-dera,http://tripitaka.cbeta.org/T20n1091,2016-10-08
1092,20,30,不空羂索神變真言經,Bu Kong Juan Suo Shenbian Zhenyan Jing,Amoghapāśakalparājasūtra,菩提流志,譯,Bodhiruci,Translated,唐,Tang,707,"Describes a esoteric cultivation method in 78 chapters. Chapter 1 in Scroll 1 contains the 母陀羅尼真言 Mother Dhāraṇī Mantra. This is followed by a description of signs of miracles, including mountains shaking and flowers falling from the sky. Then ritual instructions are given, including visualization. There are much shorter Chinese translations by Jñānagupta (T 1093), Xuan Zang (T 1094), Dānapāla (T 1099) and others. These mostly contain only the Mother Dhāraṇī Mantra of Scroll 1 in T 1092.","Sanskrit title and date 707 from Lancaster (2004, 'K 287'). This script contains Siddham characters that are not displayed in the NTI Reader. See <a href='https://21dzk.l.u-tokyo.ac.jp/SAT/satdb2015.php'>SAT</a> to view those.",Korean Canon,http://tripitaka.cbeta.org/T20n1092,2016-10-08
1093,20,1,不空羂索呪經,Bu Kong Juan Suo Zhou Jing,Amoghapāśahṛdayasūtra,闍那崛多,譯,Jñānagupta,Translated,唐,Tang,587,Contains a version of the 母陀羅尼真言 Mother Dhāraṇī Mantra from T 1090.,"Sanskrit title and date 587 from Lancaster (2004, 'K 288')",Korean Canon,http://tripitaka.cbeta.org/T20n1093,2016-10-08
1094,20,1,不空羂索神呪心經,Bu Kong Juan Suo Shen Zhou Xinjing,Amoghapāśahṛdayasūtra,玄奘,譯,Xuanzang,Translated,唐,Tang,659,Contains a version of the 母陀羅尼真言 Mother Dhāraṇī Mantra from T 1090.,"Sanskrit title and date 659 from Lancaster (2004, 'K 289')",Korean Canon,http://tripitaka.cbeta.org/T20n1094,2016-10-08
1095,20,1,不空羂索呪心經,Bu Kong Juan Suo Zhou Xin Jing,Amoghapāśa Heart Mantra Sūtra,菩提流志,譯,Bodhiruci,Translated,唐,Tang,618-907,Contains a version of the 母陀羅尼真言 Mother Dhāraṇī Mantra from T 1090.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞明本 Source: Ming Canon.,Ming Canon,http://tripitaka.cbeta.org/T20n1095,2016-10-08
1096,20,1,不空羂索陀羅尼經,Bu Kong Juan Suo Tuoluoni Jing ,Amoghapāśa Dhāraṇī Sūtra,李無諂,譯,Li Wuchan,Translated,唐,Tang,700,Contains a version of the 母陀羅尼真言 Mother Dhāraṇī Mantra from T 1090.,"Date 700 from Lancaster (2004, 'K 291')",Korean Canon,http://tripitaka.cbeta.org/T20n1096,2016-10-08
1097,20,3,不空羂索陀羅尼自在王呪經,Bu Kong Juan Suo Tuoluoni Zizai Wang Zhou Jing,Amoghapāśa Dhāraṇī and īśāna Mantra Sūtra,寶思惟,譯,Ratnacinta,Translated,唐,Tang,693,See T 1092.,"Date 693 from Lancaster (2004, 'K 290')",Korean Canon,http://tripitaka.cbeta.org/T20n1097,2016-10-08
1098,20,2,佛說不空羂索陀羅尼儀軌經,Fo Shuo Bu Kong Juan Suo Tuoluoni Yi Gui Jing ,Amoghapāśa Dhāraṇī Ritual Manual,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,See T 1092.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads:＜原＞享和元年刊長谷寺藏本, ＜甲＞東寺三密藏古寫本, ＜乙＞保延三年寫高山寺藏本, ＜丙＞高山寺藏古寫本 Source: Hase-dera Canon verion published 1st year of the Kyōwa era [1801-1804]; 1. Tō-ji Sanmitsu Canon old manuscript; 2. Takayama Temple collection, 3rd year of the Hōen era [1135-1141], 3. Takayama Temple collection old manuscript.",Hase-dera,http://tripitaka.cbeta.org/T20n1098,2016-10-08
1099,20,1,佛說聖觀自在菩薩不空王祕密心陀羅尼經,Fo Shuo Sheng Guanzizai Pusa Bu Kong Wang Mimi Xin Tuoluoni Jing,Amoghapāśahṛdayadhāraṇīsūtra,施護,譯,Dānapāla,Translated,宋,Song,1010,See T 1092.,"Sanskrit title and date 1010 from Lancaster (2004, 'K 1456')",Korean Canon,http://tripitaka.cbeta.org/T20n1099,2016-10-08
1100,20,1,葉衣觀自在菩薩經,Ye Yi Guanzizai Pusa Jing,Parṇaśavarīdhāraṇīsūtra,不空,譯,Amoghavajra,Translated,唐,Tang,720-774,"A dhāraṇī and esoteric ritual associated with the Parṇaśavarī manifestation of Avalokiteśvara, whose body is wrapped in leaves, to rid the home of evil spirits.","Sanskrit title and date 720-774 from Lancaster (2004, 'K 1305')",Korean Canon,http://tripitaka.cbeta.org/T20n1100,2016-10-08
1101,20,1,佛說大方廣曼殊室利經,Fo Shuo Dafangguang Manshushili Jing,Mahavaipulya Manjusri Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,"Describes Avalokiteśvara's manifestation of different physical forms,predictions, emanation of Tara, short dharanis, mandala, ritual, and description of merits of the practice.","Date 746-774 from Lancaster (2004, 'K 1276')",Korean Canon,http://tripitaka.cbeta.org/T20n1101,2016-10-08
1102,20,1,金剛頂經多羅菩薩念誦法,Jingang Ding Jing Duoluo Pusa Niansong Fa,Vajra Crown Tantra Tara Bodhisattva Liturgy,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,A text within the 諸觀音儀軌類 Avalokitesvara ritual manuals group (1030–1118).,"Date 746-774 from Lancaster (2004, 'K 1328')",Korean Canon,http://tripitaka.cbeta.org/T20n1102,2016-10-08
1103A,20,1,觀自在菩薩隨心呪經,Guanzizai Pusa Sui Xin Zhou Jing,Heart Mantra of the Responsive Avalokiteśvara Bodhisattva,智通,譯,Zhi Tong,Translated,唐,Tang,653,Provides the text of a long mantra. A text within the 諸觀音儀軌類 Avalokitesvara ritual manuals group (1030–1118).,"Date 653 from Lancaster (2004, 'K 317')",Korean Canon,http://tripitaka.cbeta.org/T20n1103a,2016-10-08
1103B,20,1,觀自在菩薩怛嚩多唎隨心陀羅尼經,Guanzizai Pusa Da Fu Duo Li Sui Xin Tuoluoni Jing ,Scripture on Dhāraṇī of Avalokiteśvara Bodhisattva Dharma-Bhṛkutī According with the Heart,智通,譯,Zhi Tong,Translated,唐,Tang,618-907,Related but different to T 1103A. A text within the 諸觀音儀軌類 Avalokitesvara ritual manuals group (1030–1118).,"This text contains Siddham characters and images not displayed in the NTI Reader. Please see <a href='https://21dzk.l.u-tokyo.ac.jp/SAT/satdb2015.php'>SAT</a> to view those. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞明本, 此經與麗本大異故別載, ＜甲＞黄檗版淨嚴等加筆本 Source: Ming Canon; this version is included because it is substantially different from the Korean Canon; 1. Ōbaku Canon with notes by Jōgon and others.",Ming Canon,http://tripitaka.cbeta.org/T20n1103b,2016-10-08
1104,20,1,佛說聖多羅菩薩經,Fo Shuo Sheng Duoluo Pusa Jing,Sacred Tara Bodhisattva Sutra,法賢,譯,Faxian,Translated,宋,Song,995-997,A text within the 諸觀音儀軌類 Avalokitesvara ritual manuals group (1030–1118).,"Date 995-997 from Lancaster (2004, 'K 1235')",Korean Canon,http://tripitaka.cbeta.org/T20n1104,2016-10-08
1105,20,1,聖多羅菩薩一百八名陀羅尼經,Sheng Duoluo Pusa Yibai Ba Ming Tuoluoni Jing,Tārādevīnāmāṣṭaśatakasūtra,法賢,譯,Faxian,Translated,宋,Song,973-988,The dharani is explained. Mahesvara recites it and praises Tara with one hundred and eight epithets. Tara illuminates the lands in the ten directions to rescue beings from their suffering.,"Sanskrit title and date 973-988 from Lancaster (2004, 'K 1131')",Korean Canon,http://tripitaka.cbeta.org/T20n1105,2016-10-08
1106,20,1,讚揚聖德多羅菩薩一百八名經,Zanyang Sheng De Duoluo Pusa Yibai Ba Ming Jing,Āryatārābhaṭṭarikāyanāmāṣṭottaraśatakasūtra,天息災,譯,Tian Xi Zai,Translated,宋,Song,985,A combination of Sanskrit mantra in Chinese transliteration and pentasyllabic Chinese verse. This text has different content than T 1105.,"Sanskrit title and date 985 from Lancaster (2004, 'K 1120')",Korean Canon,http://tripitaka.cbeta.org/T20n1106,2016-10-08
1107,20,1,聖多羅菩薩梵讚,Sheng Duoluo Pusa Fan Zan,Sacred Tara Bodhisattva Sanskrit Verses,施護,譯,Dānapāla,Translated,宋,Song,991,A Sanskrit mantra in Chinese transliteration.,"Date 991 from Lancaster (2004, 'K 1187')",Korean Canon,http://tripitaka.cbeta.org/T20n1107,2016-10-08
1108A,20,1,聖救度佛母二十一種禮讚經,Sheng Jiudu Fomu Ershi Yi Zhong Lizan Jing,Sutra on the Twenty One Praises for the Sacred Goddess Tara,安藏,譯,An Zang,Translated,元,Yuan,,Heptasyllabic Chinese verse with one short dharani.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads:  ＜原＞明本 Source: Ming Canon.,Ming Canon,http://tripitaka.cbeta.org/T20n1108A,2016-10-08
1108B,20,1,救度佛母二十一種禮讚經,Jiudu Fomu Ershi Yi Zhong Lizan Jing,Sutra on the Twenty One Praises for the Goddess Tara,,,,,,,,See 1108A.,This text includes images that are not displayed properly in the NTI Reader. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞清道光四年刊 Source: Published in the 4th year of the Dao Guang reign [1821-1850] of the Qing dynasty.,Qing,http://tripitaka.cbeta.org/T20n1108B,2016-10-08
1109,20,1,白救度佛母讚,Bai Jiudu Fomu Zan,Praise for the Goddess White Tara,阿旺扎什,譯,Awang Zhashen,Translated,清,Qing,1644-1911,Heptasyllabic Chinese verse with one short dharani.,This text includes images that are not displayed properly in the NTI Reader. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞清道光四年刊 Source: Published in the 4th year of the Dao Guang reign [1821-1850] of the Qing dynasty.,Qing,http://tripitaka.cbeta.org/T20n1109,2016-10-08
1110,20,1,佛說一髻尊陀羅尼經,Fo Shuo Yi Ji Zun Tuoluoni Jing,Usnisa Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,746-774,"Describes the benefits of the Dharani, gives the text of the dharani, describes an abhiseka ritual, mandala, homa, and mudras.","Date 746-774 from Lancaster (2004, 'K 1360')",Korean Canon,http://tripitaka.cbeta.org/T20n1110,2016-10-08
1111,20,1,青頸觀自在菩薩心陀羅尼經,Qing Jing Guanzizai Pusa Xin Tuoluoni Jing,Nilakantha Avalokitesvara Bodhisattva Heart Dharani Sutra,不空,譯,Amoghavajra,Translated,唐,Tang,618-907,Gives the text of the dharani.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本, ＜甲＞承安三年寫東寺三密藏本 Source: Buzan college Canon, published Kyōhō era [1716-1736]; 1. manuscript from the Tō-ji collection, 3rd year of the Jōan era [1171-1175].",Buzan college Canon,http://tripitaka.cbeta.org/T20n1111,2016-10-08
1112,20,1,金剛頂瑜伽青頸大悲王觀自在念誦儀軌,Jingang Ding Yujia Qing Jing Dabei Wang Guanzizai Niansong Yi Gui,"Vajra Pinnacle Yoga Nilakantha Avalokitesvara, Lord of Great Compassion Liturgy",金剛智,譯,Vajrabodhi,Translated,唐,Tang,618-907,Gives the text of the dharanis alternating with Chinese verse.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads:  ＜原＞享保年間刊豊山大學藏本, ＜甲＞平安時代寫東寺三密藏本 Source: Buzan college Canon, published in the Kyōhō era [1716-1736]; 1. manuscript from the Tō-ji Sanmitsu Canon Heian Period [794-1192].",Buzan college Canon,http://tripitaka.cbeta.org/T20n1112,2016-10-08
1113A,20,1,觀自在菩薩廣大圓滿無礙大悲心陀羅尼,Guanzizai Pusa Guangda Yuanman Wu'ai Dabei Xin Tuoluoni,Avalokitesvara bodhisattva Perfect and Unimpeded Great Compassion Dharani,指空,譯,Dhyānabhadra,Taught,高麗,Goryeo,918-1392,Gives the text of the dharani in Chinese transliteration.,This text does not appear in the Korean Canon. A Taishō footnote for this text reads: 朝鮮弘治九年刊眞言集.,Korean version,http://tripitaka.cbeta.org/T20n1113A,2016-10-08
1113B,20,1,大慈大悲救苦觀世音自在王菩薩廣大圓滿無礙自在青頸大悲心陀羅尼,Da Ci Da Bei Jiu Ku Guanshiyin Zizai Wang Pusa Guangda Yuanman Wu'ai Zizai Qing Jing Dabei Xin Tuoluoni,"Avalokitesvara bodhisattva of Great Mercy, Nilakantha Great Compassion Dharani",不空,譯,Amoghavajra,Translated,唐,Tang,618-907,Gives the text of the dharani in Siddham and Chinese transliteration.,"This work contains Siddham characters not displayed in the NTI Reader. Please see <a href='https://21dzk.l.u-tokyo.ac.jp/SAT/satdb2015.php'>SAT</a> to view them. This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞享保年間刊豊山大學藏本 Buzan college Canon, published in the Kyōhō era [1716-1736].",Buzan college Canon,http://tripitaka.cbeta.org/T20n1113B,2016-10-08
1114,20,1,毘俱胝菩薩一百八名經,Pijuzhi Pusa Yibai Ba Ming Jing,Sutra of One Hundred and Eight Epithets for Bhrkuti Bodhisattva,法天,譯,Fa Tian,Translated,宋,Song,973-988,Gives the text of the dharani.,"Date 973-988 from Lancaster (2004, 'K 1137')",Korean Canon,http://tripitaka.cbeta.org/T20n1114,2016-10-08
1115,20,1,觀自在菩薩阿麼𪘨法,Guanzizai Pusa A Me Zhai Fa,Avalokitesvara Bodhisattva Abhetri Ritual,,,,,,,,Gives the text of the dharani and describes its merits.,"This text does not appear in the Korean Canon. A Taishō footnote for this text reads: ＜原＞平安時代寫仁和寺藏本, ＜甲＞東寺三密藏古寫本 Source: manuscript from the Ninna-ji collection, Heian Period [794-1192]; 1. old manuscript from the Tō-ji Sanmitsu Canon.",Sanmitsu Canon,http://tripitaka.cbeta.org/T20n1115,2016-10-08
